symbol,buy_date,sell_date,buy_price,sell_price,pnl_pct,pnl_abs,sell_reason
DDOG,2024-11-22,2024-12-12 00:00:00,154.8300018310547,156.72999572753906,1.2271484040655019,36.34688323974615,macd_death_cross
CRM,2024-12-03,2024-12-13 00:00:00,328.905029296875,351.6107482910156,6.90342712079543,929.1180212402342,macd_death_cross
FICO,2024-12-03,2024-12-17 00:00:00,2345.320068359375,2138.179931640625,-8.832062604728021,-1186.912983398437,trailing_stop
VRT,2024-12-05,2024-12-17 00:00:00,134.35650634765625,120.48957061767578,-10.321000528324891,-575.0618247222901,stop_loss
CVNA,2024-11-25,2024-12-18 00:00:00,260.79998779296875,233.02000427246094,-10.651834670544709,-214.73927261352537,stop_loss
UAL,2024-11-26,2024-12-18 00:00:00,96.51000213623047,91.47000122070312,-5.222257593998432,-221.91124031066875,trailing_stop
WBD,2024-12-12,2024-12-18 00:00:00,12.489999771118164,10.630000114440918,-14.891911054940957,-834.9352458858493,stop_loss
AVGO,2024-12-13,2024-12-18 00:00:00,221.7263641357422,220.56251525878906,-0.5249032434594065,-34.9387432861331,trailing_stop
TSLA,2024-12-10,2024-12-20 00:00:00,400.989990234375,421.05999755859375,5.005114295368823,693.0173529052736,trailing_stop
PLTR,2024-12-09,2024-12-27 00:00:00,72.45999908447266,79.08000183105469,9.136078981818013,416.66297286987265,macd_death_cross
CIEN,2024-12-12,2024-12-30 00:00:00,84.5199966430664,85.01000213623047,0.5797509614599116,32.50206436157259,macd_death_cross
FOXA,2024-12-18,2024-12-31 00:00:00,48.727962493896484,47.89003372192383,-1.7196056003318683,-248.2112608337411,macd_death_cross
TSLA,2024-12-24,2024-12-31 00:00:00,462.2799987792969,403.8399963378906,-12.641689581146437,-269.9928112792968,stop_loss
AXON,2024-12-16,2025-01-06 00:00:00,649.2999877929688,570.7100219726562,-12.103799060192058,-536.7694665527347,stop_loss
CCL,2024-12-20,2025-01-07 00:00:00,26.676685333251953,23.73030662536621,-11.04477063427794,-1065.145366687775,stop_loss
APP,2024-12-09,2025-01-10 00:00:00,342.5400085449219,318.4800109863281,-7.023996309452546,-320.23856750488267,trailing_stop
APO,2024-12-10,2025-01-10 00:00:00,171.5846405029297,152.61026000976562,-11.058321093046839,-1531.4222496032726,stop_loss
NFLX,2024-12-24,2025-01-10 00:00:00,93.21199798583984,83.76899719238281,-10.130670940978597,-216.52800819396975,stop_loss
ANET,2025-01-06,2025-01-10 00:00:00,118.9800033569336,114.33999633789062,-3.8998208842902766,-89.5521354675293,macd_death_cross
RL,2024-12-31,2025-01-14 00:00:00,227.47235107421875,233.92286682128906,2.8357361747958834,191.6448228454592,macd_death_cross
UAL,2024-12-20,2025-01-24 00:00:00,97.4000015258789,105.0,7.802873054475051,752.4758489227297,macd_death_cross
CF,2025-01-13,2025-01-24 00:00:00,92.75711822509766,85.56965637207031,-7.748690332945903,-251.20179176330566,macd_death_cross
CMI,2024-12-09,2025-01-27 00:00:00,374.6385803222656,340.8505554199219,-9.018832196427596,-411.2002630615234,macd_death_cross
EXPE,2024-12-23,2025-01-27 00:00:00,186.92237854003906,167.3927459716797,-10.447990615621285,-335.12849487304675,stop_loss
EQT,2024-12-30,2025-01-27 00:00:00,45.90752410888672,47.75012969970703,4.013733318420506,170.477869262696,macd_death_cross
